"","PERC_N.11.comps"
"Wave_1794",3.48670509655323
"Wave_1795",3.35636697421655
"Wave_1796",3.23152810830944
"Wave_1797",2.91042728916677
"Wave_1798",2.83030975416338
"Wave_1799",2.90892545954666
"Wave_1800",2.89137853608396
"Wave_1801",2.75240277709693
"Wave_1802",2.49408371787255
"Wave_1803",2.41194513601919
"Wave_1804",2.34471405243084
"Wave_1805",2.02750776437788
"Wave_1806",1.67296189805541
"Wave_1807",1.30436046125786
"Wave_1808",1.26410830554137
"Wave_1809",1.16231449085078
"Wave_1810",0.902752324677799
"Wave_1811",0.945402894431362
"Wave_1812",0.919790076730997
"Wave_1813",0.867143990996149
"Wave_1814",0.914688725976975
"Wave_1815",1.06425434418017
"Wave_1816",1.30350328515038
"Wave_1817",1.24899976521586
"Wave_1818",0.956722483753737
"Wave_1819",0.834145691528106
"Wave_1820",0.774864818843987
"Wave_1821",0.490447301731948
"Wave_1822",0.320882379194528
"Wave_1823",0.371639717377084
"Wave_1824",0.407493581350192
"Wave_1825",0.162801605943816
"Wave_1826",0.0133802861882071
"Wave_1827",-0.105232157995588
"Wave_1828",-0.122308710562811
"Wave_1829",-0.234946826896314
"Wave_1830",-0.561117066919148
"Wave_1831",-0.683468734122847
"Wave_1832",-0.657702346421294
"Wave_1833",-0.805488254685276
"Wave_1834",-0.88012317722813
"Wave_1835",-0.899284971974176
"Wave_1836",-0.905624154798104
"Wave_1837",-1.39260760501141
"Wave_1838",-1.51933214858757
"Wave_1839",-1.6120876497968
"Wave_1840",-1.71550903210338
"Wave_1841",-1.83474903743002
"Wave_1842",-1.87252630697141
"Wave_1843",-1.89523401708839
"Wave_1844",-1.96132842859899
"Wave_1845",-2.1400133143971
"Wave_1846",-2.34605057477756
"Wave_1847",-2.42304271829384
"Wave_1848",-2.64909876397836
"Wave_1849",-2.67451197839035
"Wave_1850",-2.83470712277981
"Wave_1851",-2.70162962066877
"Wave_1852",-2.64111111313468
"Wave_1853",-2.82853443479651
"Wave_1854",-2.73453952775992
"Wave_1855",-2.81667601738824
"Wave_1856",-2.62104498176655
"Wave_1857",-2.82399841446697
"Wave_1858",-2.81465806371927
"Wave_1859",-2.80907079337631
"Wave_1860",-2.51606025317509
"Wave_1861",-2.22319017618085
"Wave_1862",-2.20538160066834
"Wave_1863",-2.16358622374801
"Wave_1864",-2.05290714923556
