"","CELL_PERC_DW.13.comps"
"Wave_1503",-11.7994298408216
"Wave_1504",-11.5098630836832
"Wave_1505",-10.6533521664573
"Wave_1506",-11.0324992426813
"Wave_1507",-11.0131793575264
"Wave_1508",-11.0560934798665
"Wave_1509",-11.3468271517501
"Wave_1510",-11.9105287680634
"Wave_1511",-13.6769594209489
"Wave_1512",-14.7057341821126
"Wave_1513",-14.5401220674719
"Wave_1514",-14.5282366946311
"Wave_1515",-14.6143543063807
"Wave_1516",-13.9089504628375
"Wave_1517",-13.4143751784752
"Wave_1518",-13.5727247708303
"Wave_1519",-13.8736227624089
"Wave_1520",-14.712398645477
"Wave_1521",-15.2032864798908
"Wave_1522",-15.2953555220748
"Wave_1523",-13.9506308611513
"Wave_1524",-13.0137876138168
"Wave_1525",-13.0213257944587
"Wave_1526",-12.2728194022404
"Wave_1527",-12.1995481359756
"Wave_1528",-13.111793090528
"Wave_1529",-12.6673181264842
"Wave_1530",-13.2594750875004
"Wave_1531",-13.9582311335573
"Wave_1532",-12.2048956556251
"Wave_1533",-10.8666841007202
"Wave_1534",-12.5239585653044
"Wave_1535",-14.1175692832535
"Wave_1536",-11.4297621307931
"Wave_1537",-8.93682866922811
"Wave_1538",-10.6340144489033
"Wave_1539",-11.9979841220377
"Wave_1540",-11.090514199238
"Wave_1541",-9.62306713461028
"Wave_1542",-9.19277428850509
"Wave_1543",-10.4263457798095
"Wave_1544",-10.5054878526727
"Wave_1545",-9.06491100534604
"Wave_1546",-10.0256516409896
"Wave_1547",-10.9359264005657
"Wave_1548",-9.32305042342252
"Wave_1549",-8.18250696988688
"Wave_1550",-9.39836661566316
"Wave_1551",-10.28512251855
"Wave_1552",-9.6231424292354
"Wave_1553",-8.60579735210357
"Wave_1554",-8.24539460350797
"Wave_1555",-8.11922635487742
"Wave_1556",-8.77473434952367
"Wave_1557",-9.70971376172874
"Wave_1558",-10.0248312527375
"Wave_1559",-9.90204276201512
"Wave_1560",-10.1979774407306
"Wave_1561",-10.6533003740948
"Wave_1562",-9.89560943152574
"Wave_1563",-8.11343746248964
"Wave_1564",-7.33079777726809
"Wave_1565",-8.64533377783186
"Wave_1566",-10.813217966626
"Wave_1567",-10.9179401638112
"Wave_1568",-10.1152890956825
"Wave_1569",-9.91281856685805
"Wave_1570",-8.85525346060152
"Wave_1571",-9.11542099038656
"Wave_1572",-11.4924226577189
"Wave_1573",-12.1904085093473
"Wave_1574",-11.8163323209594
"Wave_1575",-12.5676145374368
"Wave_1576",-12.50923579932
"Wave_1577",-12.2510597180432
"Wave_1578",-13.7399720901632
"Wave_1579",-14.6886146884946
"Wave_1580",-14.8779375956856
"Wave_1581",-15.2687947377325
"Wave_1582",-15.6828954126625
"Wave_1583",-16.5267461866957
"Wave_1584",-16.8788231785487
"Wave_1585",-16.4591206627791
"Wave_1586",-16.1352962679358
"Wave_1587",-16.3347056106761
"Wave_1588",-17.5247846074193
"Wave_1589",-17.5511645255572
"Wave_1590",-15.0137797867404
"Wave_1591",-14.4351833005613
"Wave_1592",-15.3505565710003
"Wave_1593",-14.3524328674522
"Wave_1594",-14.01022830737
"Wave_1595",-14.2761022253754
"Wave_1596",-12.8743787903342
"Wave_1597",-11.8014968607664
"Wave_1598",-12.361676610158
"Wave_1599",-11.9524833288645
"Wave_1600",-9.05342188045813
"Wave_1601",-5.25856455409004
"Wave_1602",-2.77302362147761
"Wave_1603",-2.78494500020178
"Wave_1604",-2.1404825948658
"Wave_1605",0.010708101691125
"Wave_1606",0.333452335617386
"Wave_1607",-0.360364108097161
"Wave_1608",1.03058054357308
"Wave_1609",3.00516077004392
"Wave_1610",3.08089875281886
"Wave_1611",3.82628482458032
"Wave_1612",5.78155931702542
"Wave_1613",7.30056871643774
"Wave_1614",8.74120642464438
"Wave_1615",9.32026519646817
"Wave_1616",10.2584781061645
"Wave_1617",12.274722222477
"Wave_1618",13.0731336367922
"Wave_1619",12.8255768282729
"Wave_1620",13.257176405566
"Wave_1621",14.0383795832444
"Wave_1622",14.3884023453138
"Wave_1623",14.0254999368437
"Wave_1624",13.3469472350233
"Wave_1625",14.9079955978658
"Wave_1626",16.901168715189
"Wave_1627",17.533055676021
"Wave_1628",18.3047942832423
"Wave_1629",19.672558181145
"Wave_1630",20.9557945718522
"Wave_1631",23.0147617681823
"Wave_1632",26.1211565053854
"Wave_1633",30.2192382806209
"Wave_1634",33.5775166868013
"Wave_1635",33.897863273356
"Wave_1636",36.7902219749362
"Wave_1637",40.7653476180132
"Wave_1638",41.3545329666743
"Wave_1639",41.9330372617442
"Wave_1640",44.711194665462
"Wave_1641",46.7740519270337
"Wave_1642",49.0999790824097
"Wave_1643",50.5887153127494
"Wave_1644",48.6132404997657
"Wave_1645",47.0270179148279
"Wave_1646",46.585093302397
"Wave_1647",45.6145104212454
"Wave_1648",44.4811929767811
"Wave_1649",44.6940008935211
"Wave_1650",42.9568992581714
"Wave_1651",39.4057210881267
"Wave_1652",36.7454637843193
"Wave_1653",35.7736448691414
"Wave_1654",32.9075549454424
"Wave_1655",28.766711334208
"Wave_1656",24.5252728933451
"Wave_1657",20.0004046429929
"Wave_1658",14.4164634020752
"Wave_1659",9.91714345205224
"Wave_1660",5.96220293964965
"Wave_1661",1.77924027407115
"Wave_1662",-3.93636661780116
"Wave_1663",-9.66735307378485
"Wave_1664",-13.490494440812
"Wave_1665",-16.5660386010007
"Wave_1666",-21.0003005969979
"Wave_1667",-24.7114191399091
"Wave_1668",-27.1431615676478
"Wave_1669",-29.7979007127199
"Wave_1670",-32.0919410608659
"Wave_1671",-33.4941788105868
"Wave_1672",-34.1101258220828
"Wave_1673",-33.6209162701998
"Wave_1674",-32.6914176466078
"Wave_1675",-32.8359695099402
"Wave_1676",-33.4943145490019
"Wave_1677",-33.8500068084143
"Wave_1678",-31.3477506142935
"Wave_1679",-25.8434468852469
"Wave_1680",-24.1964260922593
"Wave_1681",-23.4813195969074
"Wave_1682",-16.3076174424434
"Wave_1683",-9.54721572699429
"Wave_1684",-6.82530135833678
